id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1595682648860413952,1595682648860413952,2022-11-24 07:36:04 UTC,2022-11-24,07:36:04,+0000,1367877290672025600,theepicmemefam1,Rohan,"{'type': 'Point', 'coordinates': [21.0, 77.0]}",Boldo na Jara 😁 . . . . #memeoftheday #dankmemes #memes #adultmemes #nonvegmemes #sarcasm #comedyindia #bakchodi #chutiyapa #sacredmemes #bollywood #sarcasticmemes #bcbilli #rvcj #bakchodiyaan #adultmemesdaily @ India  https://t.co/Qm9H7y4net,pt,[],['https://www.instagram.com/p/ClVeUEQI5F1/?igshid=YTgzYjQ4ZTY='],[],0,0,0,"['memeoftheday', 'dankmemes', 'memes', 'adultmemes', 'nonvegmemes', 'sarcasm', 'comedyindia', 'bakchodi', 'chutiyapa', 'sacredmemes', 'bollywood', 'sarcasticmemes', 'bcbilli', 'rvcj', 'bakchodiyaan', 'adultmemesdaily']",[],https://twitter.com/Theepicmemefam1/status/1595682648860413952,False,,0,,,,,,,,[],,,,
1595670472124813312,1595670472124813312,2022-11-24 06:47:41 UTC,2022-11-24,06:47:41,+0000,1367877290672025600,theepicmemefam1,Rohan,"{'type': 'Point', 'coordinates': [21.0, 77.0]}",🙂 . . . . . #memeoftheday #dankmemes #memes #adultmemes #nonvegmemes #sarcasm #comedyindia #bakchodi #chutiyapa #sacredmemes #bollywood #sarcasticmemes #bcbilli #rvcj #bakchodiyaan #adultmemesdaily @ India  https://t.co/JIZwpGJIxi,pt,[],['https://www.instagram.com/p/ClVYxdlIQKu/?igshid=YTgzYjQ4ZTY='],[],0,0,0,"['memeoftheday', 'dankmemes', 'memes', 'adultmemes', 'nonvegmemes', 'sarcasm', 'comedyindia', 'bakchodi', 'chutiyapa', 'sacredmemes', 'bollywood', 'sarcasticmemes', 'bcbilli', 'rvcj', 'bakchodiyaan', 'adultmemesdaily']",[],https://twitter.com/Theepicmemefam1/status/1595670472124813312,False,,0,,,,,,,,[],,,,
1595665347931426816,1595665347931426816,2022-11-24 06:27:19 UTC,2022-11-24,06:27:19,+0000,806312090,ukvsm_,Sarcasm,,#Bollywood or #Copywood   ?????  https://t.co/OLlp1pPFwb,und,[],[],['https://pbs.twimg.com/media/FiTxLDHVQAAKmcL.jpg'],0,1,8,"['bollywood', 'copywood']",[],https://twitter.com/ukvsm_/status/1595665347931426816,False,,1,https://pbs.twimg.com/media/FiTxLDHVQAAKmcL.jpg,,,,,,,[],,,,
1595653997175504897,1595653997175504897,2022-11-24 05:42:13 UTC,2022-11-24,05:42:13,+0000,1367877290672025600,theepicmemefam1,Rohan,"{'type': 'Point', 'coordinates': [21.0, 77.0]}",. . . . . #memeoftheday #dankmemes #memes #adultmemes #nonvegmemes #sarcasm #comedyindia #bakchodi #chutiyapa #sacredmemes #bollywood #sarcasticmemes #bcbilli #rvcj #bakchodiyaan #adultmemesdaily @ India  https://t.co/51TGcqxPKn,pt,[],['https://www.instagram.com/p/ClVRSPtSgeM/?igshid=YTgzYjQ4ZTY='],[],0,0,0,"['memeoftheday', 'dankmemes', 'memes', 'adultmemes', 'nonvegmemes', 'sarcasm', 'comedyindia', 'bakchodi', 'chutiyapa', 'sacredmemes', 'bollywood', 'sarcasticmemes', 'bcbilli', 'rvcj', 'bakchodiyaan', 'adultmemesdaily']",[],https://twitter.com/Theepicmemefam1/status/1595653997175504897,False,,0,,,,,,,,[],,,,
1595618327824588805,1595468188732489730,2022-11-24 03:20:29 UTC,2022-11-24,03:20:29,+0000,1432350385713283081,i_commenter,BOLLYWOOD THE ONLY REAL CINEMA,,@rohansheth17 I hope it's sarcasm,en,[],[],[],0,0,0,[],[],https://twitter.com/i_commenter/status/1595618327824588805,False,,0,,,,,,,,"[{'screen_name': 'rohansheth17', 'name': 'Rohan Sheth', 'id': '780734029'}]",,,,
1595437585018818561,1595437585018818561,2022-11-23 15:22:16 UTC,2022-11-23,15:22:16,+0000,1367877290672025600,theepicmemefam1,Rohan,"{'type': 'Point', 'coordinates': [21.0, 77.0]}",Wooh purane din  . . .  #memeoftheday #dankmemes #memes #adultmemes #nonvegmemes #sarcasm #comedyindia #bakchodi #chutiyapa #sacredmemes #bollywood #sarcasticmemes #bcbilli #rvcj #bakchodiyaan #adultmemesdaily  https://t.co/hgazQYCNCB,hi,[],['https://www.instagram.com/p/ClTu34xSfDZ/?igshid=YTgzYjQ4ZTY='],[],0,0,0,"['memeoftheday', 'dankmemes', 'memes', 'adultmemes', 'nonvegmemes', 'sarcasm', 'comedyindia', 'bakchodi', 'chutiyapa', 'sacredmemes', 'bollywood', 'sarcasticmemes', 'bcbilli', 'rvcj', 'bakchodiyaan', 'adultmemesdaily']",[],https://twitter.com/Theepicmemefam1/status/1595437585018818561,False,,0,,,,,,,,[],,,,
1595436583808704513,1595436583808704513,2022-11-23 15:18:18 UTC,2022-11-23,15:18:18,+0000,1367877290672025600,theepicmemefam1,Rohan,"{'type': 'Point', 'coordinates': [21.0, 77.0]}",🥺🥺 . . . . #memeoftheday #dankmemes #memes #adultmemes #nonvegmemes #sarcasm #comedyindia #bakchodi #chutiyapa #sacredmemes #bollywood #sarcasticmemes #bcbilli #rvcj #bakchodiyaan #adultmemesdaily @ India  https://t.co/btdzrkE2FH,pt,[],['https://www.instagram.com/p/ClTuaqZy0_B/?igshid=YTgzYjQ4ZTY='],[],0,0,0,"['memeoftheday', 'dankmemes', 'memes', 'adultmemes', 'nonvegmemes', 'sarcasm', 'comedyindia', 'bakchodi', 'chutiyapa', 'sacredmemes', 'bollywood', 'sarcasticmemes', 'bcbilli', 'rvcj', 'bakchodiyaan', 'adultmemesdaily']",[],https://twitter.com/Theepicmemefam1/status/1595436583808704513,False,,0,,,,,,,,[],,,,
1595436085026373634,1595436085026373634,2022-11-23 15:16:19 UTC,2022-11-23,15:16:19,+0000,1367877290672025600,theepicmemefam1,Rohan,"{'type': 'Point', 'coordinates': [21.0, 77.0]}",😁 . . . . #memeoftheday #dankmemes #memes #adultmemes #nonvegmemes #sarcasm #comedyindia #bakchodi #chutiyapa #sacredmemes #bollywood #sarcasticmemes #bcbilli #rvcj #bakchodiyaan #adultmemesdaily @ India  https://t.co/xZOoc59f6Q,pt,[],['https://www.instagram.com/p/ClTuMPbywIH/?igshid=YTgzYjQ4ZTY='],[],0,0,0,"['memeoftheday', 'dankmemes', 'memes', 'adultmemes', 'nonvegmemes', 'sarcasm', 'comedyindia', 'bakchodi', 'chutiyapa', 'sacredmemes', 'bollywood', 'sarcasticmemes', 'bcbilli', 'rvcj', 'bakchodiyaan', 'adultmemesdaily']",[],https://twitter.com/Theepicmemefam1/status/1595436085026373634,False,,0,,,,,,,,[],,,,
1595422404968611841,1595302367356145664,2022-11-23 14:21:57 UTC,2022-11-23,14:21:57,+0000,384720050,janihitmeinjari,Lin Manuel Fanta,,@prankstale If you don't understand semi-bollywood-loving-sarcasm and how  everyone is not a Wong Kar Wai but  can still hold sentimental cinematic value for the audience then that's a you problem,en,[],[],[],0,0,4,[],[],https://twitter.com/janihitmeinjari/status/1595422404968611841,False,,0,,,,,,,,"[{'screen_name': 'prankstale', 'name': 'Pranav', 'id': '716157236716838912'}]",,,,
1595318740199288832,1595318740199288832,2022-11-23 07:30:01 UTC,2022-11-23,07:30:01,+0000,981125918868451328,saichowdary014,sarcasm 🇮🇳Sanghi🌈 (sniffer biden),,just rewatched adipurush after watching Hanu-man teaser.bollywood walle hanuman ji ko maulana bana diya😢😥😰😭,tl,[],[],[],0,0,0,[],[],https://twitter.com/Saichowdary014/status/1595318740199288832,False,,0,,,,,,,,[],,,,
